,Company,Date Joined,Industry,City,Continent,Year Founded,Funding,Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November)
11,FTX,2021-07-20,Fintech,,North America,2018,$2B,32.0,"Sequoia Capital, Thoma Bravo, Softbank",3.1652201257861634,"Sequoia Capital, Thoma Bravo, Softbank"
12,Fanatics,2012-06-06,E-commerce & direct-to-consumer,Jacksonville,North America,2002,$4B,3.397312859884837,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",27.0,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
13,Chime,2019-03-05,FinTech,San Francisco,North America,2013,$2B,3.397312859884837,"Forerunner Ventures, Crosslink Capital, Homebrew",25.0,"Forerunner Ventures, Crosslink Capital, Homebrew"
14,BYJU's,2017-07-25,Edtech,Bengaluru,Asia,2008,$4B,22.0,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",22.0,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
15,J&T Express,2021-04-07,"Supply chain, logistics, & delivery",Jakarta,Asia,2015,$5B,20.0,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",3.1652201257861634,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
16,Xiaohongshu,2016-03-31,E-commerce & direct-to-consumer,Shanghai,Asia,2013,$918M,20.0,"GGV Capital, ZhenFund, Tencent",3.1652201257861634,"GGV Capital, ZhenFund, Tencent"
17,Miro,2022-01-05,Internet software & services,San Francisco,North America,2011,$476M,3.397312859884837,"Accel, AltaIR Capital, Technology Crossover Ventures",17.5,"Accel, AltaIR Capital, Technology Crossover Ventures"
18,Yuanfudao,2017-05-31,Edtech,Beijing,Asia,2012,$4B,3.397312859884837,"Tencent Holdings, Warbug Pincus, IDG Capital",15.5,"Tencent Holdings, Warbug Pincus, IDG Capital"
19,Rapyd,2019-12-03,Fintech,London,Europe,2016,$770M,3.397312859884837,"Target Global, General Catalyst, Durable Capital Partners",8.75,"Target Global, General Catalyst, Durable Capital Partners"
20,Discord,2018-04-20,Internet software & services,San Francisco,North America,2012,$979M,3.397312859884837,"Benchmark, Greylock Partners, Tencent Holdings",15.0,"Benchmark, Greylock Partners, Tencent Holdings"
21,goPuff,2020-10-08,E-commerce & direct-to-consumer,Philadelphia,North America,2013,$3B,15.0,"Accel, Softbank Group, Anthos Capital",15.0,"Accel, Softbank Group, Anthos Capital"
22,Blockchain.com,2021-02-17,Fintech,London,Europe,2011,$490M,3.397312859884837,"Lightspeed Venture Partners, Google Ventures, Lakestar",14.0,"Lightspeed Venture Partners, Google Ventures, Lakestar"
23,Plaid,2018-12-11,Fintech,San Francisco,North America,2012,$734M,13.0,"New Enterprise Associates, Spar Capital, Index Ventures",3.1652201257861634,"New Enterprise Associates, Spar Capital, Index Ventures"
24,Devoted Health,2018-10-16,Health,Waltham,North America,2017,$2B,3.397312859884837,"Andreessen Horowitz, F-Prime Capital, Venrock",12.6,"Andreessen Horowitz, F-Prime Capital, Venrock"
25,OpenSea,2021-07-20,E-commerce & direct-to-consumer,New York,North America,2017,$427M,13.0,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",3.1652201257861634,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
26,Grammarly,2019-10-10,Internet software & services,San Francisco,North America,2009,$400M,3.397312859884837,"General Catalyst, Institutional Venture Partners, Breyer Capital",13.0,"General Catalyst, Institutional Venture Partners, Breyer Capital"
27,Argo AI,2019-07-12,Artificial intelligence,Pittsburgh,North America,2016,$4B,3.397312859884837,"Volkswagen Group, Ford Autonomous Vehicles",7.25,"Volkswagen Group, Ford Autonomous Vehicles"
28,Northvolt,2019-06-12,Other,Stockholm,Europe,2016,$4B,3.397312859884837,"Vattenfall, Volkswagen Group, Goldman Sachs",9.08,"Vattenfall, Volkswagen Group, Goldman Sachs"
29,Faire,2019-10-30,Artificial intelligence,San Francisco,North America,2017,$1B,12.0,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",3.1652201257861634,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
30,Airtable,2018-11-15,Internet software & services,San Francisco,North America,2013,$1B,3.397312859884837,"Caffeinated Capital, CRV, Founder Collective",11.7,"Caffeinated Capital, CRV, Founder Collective"
31,Brex,2018-10-05,FinTech,San Francisco,North America,2017,$1B,3.397312859884837,"DST Global, Ribbit Capital, Greenoaks Capital Management",12.3,"DST Global, Ribbit Capital, Greenoaks Capital Management"
32,Getir,2021-03-26,E-commerce & direct-to-consumer,Istanbul,Europe,2015,$2B,12.0,"Tiger Global Management, Sequoia Capital, Revo Capital",11.8,"Tiger Global Management, Sequoia Capital, Revo Capital"
33,Biosplice Therapeutics,2018-08-06,Health,San Diego,North America,2008,$799M,3.397312859884837,"Vickers Venture Partners, IKEA GreenTech",12.0,"Vickers Venture Partners, IKEA GreenTech"
34,GoodLeap,2021-10-13,Internet software & services,Roseville,North America,2003,$800M,12.0,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",3.1652201257861634,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
35,Xingsheng Selected,2020-07-22,E-commerce & direct-to-consumer,Changsha,Asia,2009,$5B,3.397312859884837,"KKR, Tencent Holdings, Sequoia Capital China",12.0,"KKR, Tencent Holdings, Sequoia Capital China"
36,ZongMu Technology,2021-06-03,Auto & transportation,Shanghai,Asia,2013,$376M,11.0,"LTW Capital, Legend Capital, Qualcomm Ventures",3.1652201257861634,"LTW Capital, Legend Capital, Qualcomm Ventures"
37,Bolt,2018-05-29,Auto & transportation,Tallinn,Europe,2013,$1B,3.397312859884837,"Didi Chuxing, Diamler, TMT Investments",11.0,"Activant Capital, Tribe Capital, General Atlantic"
38,Bolt,2018-05-29,Auto & transportation,Tallinn,Europe,2013,$1B,3.397312859884837,"Didi Chuxing, Diamler, TMT Investments",8.4,"Didi Chuxing, Diamler, TMT Investments"
39,Swiggy,2018-06-21,"Supply chain, logistics, & delivery",Bengaluru,Asia,2014,$5B,3.397312859884837,"Accel India, SAIF Partners, Norwest Venture Partners",10.7,"Accel India, SAIF Partners, Norwest Venture Partners"
40,Global Switch,2016-12-22,Hardware,London,Europe,1998,$5B,11.0,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",3.1652201257861634,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
41,Celonis,2018-06-26,Data management and analytics,Munich,Europe,2011,$1B,11.0,"Accel, 83North",13.0,"Accel, 83North"
42,Zuoyebang,2018-07-18,Edtech,Beijing,Asia,2014,$3B,10.0,"Sequoia Capital China, Xiang He Capital, GGV Capital",3.0,"Sequoia Capital China, Xiang He Capital, GGV Capital"
43,Ripple,2019-12-20,Fintech,San Francisco,North America,2012,$294M,10.0,"IDG Capital, Venture51, Lightspeed Venture Partners",15.0,"IDG Capital, Venture51, Lightspeed Venture Partners"
44,OYO Rooms,2018-09-25,Travel,Gurugram,Asia,2012,$3B,3.397312859884837,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",9.0,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
45,OutSystems,2018-06-05,Internet software & services,Boston,North America,2001,$572M,10.0,"KKR, ES Ventures, North Bridge Growth Equity",9.5,"KKR, ES Ventures, North Bridge Growth Equity"
46,ServiceTitan,2018-11-14,Internet software & services,Glendale,North America,2012,$1B,3.397312859884837,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",9.5,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
47,Alchemy,2021-10-28,Fintech,San Francisco,North America,2017,$564M,10.0,"DFJ Growth Fund, Coatue Management, Addition",10.2,"DFJ Growth Fund, Coatue Management, Addition"
48,Chehaoduo,2016-03-12,E-commerce & direct-to-consumer,Beijing,Asia,2015,$4B,10.0,"Sequoia Capital China, GX Capital",3.1652201257861634,"Sequoia Capital China, GX Capital"
49,Digital Currency Group,2021-11-01,Fintech,New York,North America,2015,$1B,3.397312859884837,"Ribbit Capital, capitalG, Softbank Group",10.0,"Ribbit Capital, capitalG, Softbank Group"
50,Gusto,2015-12-18,Fintech,San Francisco,North America,2011,$691M,3.397312859884837,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",10.0,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
51,Lalamove,2019-02-21,"Supply chain, logistics, & delivery",Cheung Sha Wan,Asia,2013,$2B,3.397312859884837,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",10.0,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
52,Notion Labs,2020-04-01,Internet software & services,San Francisco,North America,2016,$343M,10.0,"Index Ventures, Draft Ventures, Felicis Ventures",3.1652201257861634,"Index Ventures, Draft Ventures, Felicis Ventures"
53,reddit,2017-07-31,Internet software & services,San Francisco,North America,2005,$1B,3.397312859884837,"Y Combinator, Sequoia Capital, Coatue Management",10.0,"Y Combinator, Sequoia Capital, Coatue Management"
54,Talkdesk,2018-10-03,Internet software & services,San Francisco,North America,2011,$497M,10.0,"DJF, Salesforce Ventures, Storm Ventures",10.0,"DJF, Salesforce Ventures, Storm Ventures"
55,Thrasio,2020-07-15,Other,Walpole,North America,2018,$2B,3.397312859884837,"Upper90, RiverPark Ventures, Advent International",10.0,"Upper90, RiverPark Ventures, Advent International"
56,Dunamu,2021-07-22,Fintech,Seoul,Asia,2012,$71M,3.397312859884837,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",1.0,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
57,Yanolja,2019-06-10,Travel,Seoul,Asia,2005,$2B,3.397312859884837,"SBI Investment Korea, Partners Investment, GIC",1.0,"SBI Investment Korea, Partners Investment, GIC"
58,Pony.ai,2018-07-11,Artificial intelligence,Fremont,North America,2016,$1B,9.0,"Sequoia Capital China, IDG Capital, DCM Ventures",8.5,"Sequoia Capital China, IDG Capital, DCM Ventures"
59,Nuro,2019-02-11,Auto & transportation,Mountain View,North America,2016,$2B,3.397312859884837,"SoftBank Group, Greylock Partners, Gaorong Capital",8.6,"SoftBank Group, Greylock Partners, Gaorong Capital"
60,Snyk,2020-01-21,Cybersecurity,Boston,North America,2015,$1B,3.397312859884837,"BOLDstart Ventures, Google Ventures, Accel",8.6,"BOLDstart Ventures, Google Ventures, Accel"
61,Kavak,2020-10-01,E-commerce & direct-to-consumer,Lerma de Villada,North America,2016,$2B,3.397312859884837,"DST Global, SoftBank Group, Mountain Nazca",8.7,"DST Global, SoftBank Group, Mountain Nazca"
62,N26,2019-01-10,Fintech,Berlin,Europe,2013,$2B,9.0,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",3.1652201257861634,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
63,Klaviyo,2020-11-17,Internet software & services,Boston,North America,2012,$679M,9.0,"Summit Partners, Accel, Astral Capital",9.2,"Summit Partners, Accel, Astral Capital"
64,Niantic,2017-11-24,Mobile & telecommunications,San Francisco,North America,2015,$770M,3.397312859884837,"Nintendo, Google, Pokemon Company International, Spark Capital",9.0,"Nintendo, Google, Pokemon Company International, Spark Capital"
65,Tanium,2015-03-31,Cybersecurity,Kirkland,North America,2007,$775M,9.0,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",9.0,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
66,Dream11,2019-04-09,Internet software & services,Mumbai,Asia,2007,$2B,3.397312859884837,"Kaalari Capital, Tencent Holdings, Steadview Capital",8.0,"Kaalari Capital, Tencent Holdings, Steadview Capital"
67,DJI Innovations,2015-01-23,Hardware,Shenzhen,Asia,2006,$105M,3.397312859884837,"Accel Partners, Sequoia Capital",15.0,"Accel Partners, Sequoia Capital"
68,Netskope,2018-11-13,Cybersecurity,Santa Clara,North America,2012,$1B,3.397312859884837,"Lightspeed Venture Partners, Social Capital, Accel",7.5,"Lightspeed Venture Partners, Social Capital, Accel"
69,Razorpay,2020-10-11,Fintech,Bengaluru,Asia,2013,$742M,3.397312859884837,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",7.5,"Sequoia Capital India, Tiger Global Management, Matrix Partners India"
70,Dapper Labs,2021-03-30,Fintech,Vancouver,North America,2018,$607M,3.397312859884837,"Union Square Ventures, Venrock, Andreessen Horowitz",7.6,"Union Square Ventures, Venrock, Andreessen Horowitz"
71,Lacework,2021-01-07,Cybersecurity,San Jose,North America,2015,$2B,3.397312859884837,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",8.3,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
72,Tipalti,2020-10-06,Fintech,San Mateo,North America,2010,$549M,8.0,"01 Advisors, Zeev Ventures, Group 11",8.3,"01 Advisors, Zeev Ventures, Group 11"
73,Hopin,2020-11-10,Internet software & services,London,Europe,2019,$1B,8.0,"Accel, Northzone Ventures, Institutional Venture Partners",7.75,"Accel, Northzone Ventures, Institutional Venture Partners"
74,Caris Life Sciences,2021-05-12,Health,Irving,North America,1996,$1B,8.0,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",7.83,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
75,Ramp,2021-03-29,Fintech,New York,North America,2019,$660M,8.0,"D1 Capital Partners, Stripe, Coatue Management",3.1652201257861634,"D1 Capital Partners, Stripe, Coatue Management"
76,Tempus,2018-03-21,Health,Chicago,North America,2015,$820M,8.0,"New Enterprise Associates, T. Rowe Associates, Lightbank",8.1,"New Enterprise Associates, T. Rowe Associates, Lightbank"
77,Fireblocks,2021-07-27,Fintech,New York,North America,2018,$1B,8.0,"Tenaya Capital, Coatue Management, Stripes Group",3.1652201257861634,"Tenaya Capital, Coatue Management, Stripes Group"
78,Flexport,2018-04-30,"Supply chain, logistics, & delivery",San Francisco,North America,2013,$2B,8.0,"Bloomberg Beta, Founders Fund, First Round Capital",3.1652201257861634,"Bloomberg Beta, Founders Fund, First Round Capital"
79,National Stock Exchange of India,2020-07-01,Fintech,Mumbai,Asia,1998,$297M,3.397312859884837,"TA Associates, SoftBank Group, GS Growth",6.5,"TA Associates, SoftBank Group, GS Growth"
80,Meicai,2016-06-22,Mobile & telecommunications,Beijing,Asia,2014,$1B,7.0,"Tiger Global Management, Blue Lake Capital, ZhenFund",3.1652201257861634,"Tiger Global Management, Blue Lake Capital, ZhenFund"
81,Impossible Foods,2019-05-13,Consumer & retail,Redwood City,North America,2011,$2B,3.397312859884837,"Khosla Ventures, Horizons Ventures, Temasek Holdings",4.0,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
82,CRED,2021-04-06,Fintech,Bengaluru,Asia,2018,$922M,3.397312859884837,"Tiger Global Management, DST Global, Sequoia Capital India",4.01,"Tiger Global Management, DST Global, Sequoia Capital India"
83,Attentive,2020-09-23,Mobile & telecommunications,Hoboken,North America,2016,$863M,7.0,"NextView Ventures, Eniac Ventures, Sequoia Capital",3.1652201257861634,"NextView Ventures, Eniac Ventures, Sequoia Capital"
84,Ola Cabs,2014-10-27,Auto & transportation,Bengaluru,Asia,2010,$4B,7.0,"Accel Partners, SoftBank Group, Sequoia Capital",7.5,"Accel Partners, SoftBank Group, Sequoia Capital"
85,Rippling,2020-08-04,Internet software & services,San Francisco,North America,2017,$447M,7.0,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",3.1652201257861634,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
86,Carta,2019-05-06,Fintech,San Francisco,North America,2012,$1B,3.397312859884837,"Menlo Ventures, Spark Capital, Union Square Ventures",7.4,"Menlo Ventures, Spark Capital, Union Square Ventures"
87,Toss,2018-12-09,FinTech,Seoul,Asia,2013,$844M,3.397312859884837,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",6.38,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
88,Ziroom,2018-01-17,E-commerce & direct-to-consumer,Beijing,Asia,2011,$2B,7.0,"Sequoia Capital China, Warburg Pincus, General Catalyst",3.1652201257861634,"Sequoia Capital China, Warburg Pincus, General Catalyst"
89,Scale AI,2019-08-05,Artificial intelligence,San Francisco,North America,2018,$603M,3.397312859884837,"Accel, Y Combinator, Index Ventures",7.3,"Accel, Y Combinator, Index Ventures"
90,Gong,2020-08-12,Artificial intelligence,Palo Alto,North America,2015,$583M,3.397312859884837,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",7.25,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
91,TripActions,2018-11-08,Travel,Palo Alto,North America,2015,$912M,3.397312859884837,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",9.2,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
92,1Password,2021-07-08,Cybersecurity,Toronto,North America,2005,$920M,7.0,"Slack Fund, Accel, Skip Capital",3.1652201257861634,"Slack Fund, Accel, Skip Capital"
93,Automation Anywhere,2018-07-02,Artificial intelligence,San Jose,North America,2003,$849M,7.0,"General Atlantic, Goldman Sachs, New Enterprise Associates",6.8,"General Atlantic, Goldman Sachs, New Enterprise Associates"
94,Gemini,2021-11-19,Fintech,New York,North America,2015,$424M,3.397312859884837,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",7.1,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
95,ConsenSys,2021-11-17,Fintech,New York,North America,2014,$660M,7.0,"Third Point, Electric Capital, Coinbase Ventures",3.1652201257861634,"Third Point, Electric Capital, Coinbase Ventures"
96,Ro,2020-07-27,Health,New York,North America,2017,$1B,3.397312859884837,"Initialized Capital, General Catalyst, SignalFire",7.0,"Initialized Capital, General Catalyst, SignalFire"
97,Black Unicorn Factory,2021-05-20,Other,Los Angeles,North America,2020,$645M,6.0,Barter Ventures,3.1652201257861634,Barter Ventures
98,Easyhome,2018-02-12,Consumer & retail,Beijing,Asia,1999,$2B,3.397312859884837,"Alibaba Group, Boyu Capital, Borui Capital",5.78,"Alibaba Group, Boyu Capital, Borui Capital"
99,SVOLT,2020-06-08,Auto & transportation,Changzhou,Asia,2018,$3B,3.397312859884837,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",6.51,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
100,Airwallex,2019-03-25,FinTech,Melbourne,Oceania,2015,$802M,6.0,"DST Global, Sequoia Capital China, Tencent Holdings",5.5,"DST Global, Sequoia Capital China, Tencent Holdings"
101,Deel,2021-04-21,Fintech,San Francisco,North America,2018,$629M,6.0,"Andreessen Horowitz, Spark Capital, Y Combinator",3.1652201257861634,"Andreessen Horowitz, Spark Capital, Y Combinator"
102,Mambu,2021-01-06,Fintech,Amsterdam,Europe,2011,$448M,6.0,"Runa Capital, Acton Capital Partners, Point Nine Capital",3.1652201257861634,"Runa Capital, Acton Capital Partners, Point Nine Capital"
103,Mollie,2020-09-08,Fintech,Amsterdam,Europe,2004,$928M,3.397312859884837,Technology Crossover Ventures,6.5,Technology Crossover Ventures
104,Doctolib,2019-03-19,Health,Paris,Europe,2013,$815M,3.397312859884837,"BPI France, Kerala Ventures, Accel",6.4,"BPI France, Kerala Ventures, Accel"
105,FiveTran,2020-06-30,Data management and analytics,Oakland,North America,2012,$728M,3.397312859884837,"Matrix Partners, Andreessen Horowitz, General Catalyst",5.6,"Matrix Partners, Andreessen Horowitz, General Catalyst"
106,Postman,2020-06-11,Internet software & services,San Francisco,North America,2014,$433M,6.0,"Nexus Venture Partners, CRV, Insight Partners",3.1652201257861634,"Nexus Venture Partners, CRV, Insight Partners"
107,Back Market,2021-05-18,E-commerce & direct-to-consumer,Paris,Europe,2014,$1B,3.397312859884837,"Aglae Ventures, Eurazeo, Daphni",5.7,"Aglae Ventures, Eurazeo, Daphni"
108,Cityblock Health,2020-12-10,Health,Brooklyn,North America,2017,$891M,3.397312859884837,"Thrive Capital, Maverick Ventures, Redpoint Ventures",5.7,"Thrive Capital, Maverick Ventures, Redpoint Ventures"
109,DataRobot,2019-07-29,Artificial intelligence,Boston,North America,2012,$1B,3.397312859884837,"New Enterprise Associates, Accomplice, IA Ventures",6.3,"New Enterprise Associates, Accomplice, IA Ventures"
110,Personio,2021-01-19,Internet software & services,Munich,Europe,2015,$524M,6.0,"Global Founders Capital, Nortzone Ventures, Picus Capital",3.1652201257861634,"Global Founders Capital, Nortzone Ventures, Picus Capital"
111,Vice Media,2011-04-02,Internet software & services,Brooklyn,North America,1994,$1B,6.0,"Technology Crossover Ventures, A&E Television Networks",3.1652201257861634,"Technology Crossover Ventures, A&E Television Networks"
112,Workato,2021-01-12,Internet software & services,Mountain View,North America,2013,$415M,3.397312859884837,"Battery Ventures, Storm Ventures, Redpoint Ventures",5.7,"Battery Ventures, Storm Ventures, Redpoint Ventures"
113,Upgrade,2018-02-12,Fintech,San Francisco,North America,2016,$587M,6.0,"Union Square Ventures, Ribbit Capital, VY Capital",6.28,"Union Square Ventures, Ribbit Capital, VY Capital"
114,Lianjia,2016-04-07,E-commerce & direct-to-consumer,Beijing,Asia,2001,$1B,3.397312859884837,"Tencent, Baidu, Huasheng Capital",5.77,"Tencent, Baidu, Huasheng Capital"
115,Hinge Health,2021-01-06,Health,San Francisco,North America,2015,$826M,3.397312859884837,"Atomico, Insight Partners, Coatue Management",6.2,"Atomico, Insight Partners, Coatue Management"
116,Lyra Health,2020-08-25,Health,Burlingame,North America,2015,$910M,6.0,"Greylock Partners, Venrock, Providence Ventures",3.1652201257861634,"Greylock Partners, Venrock, Providence Ventures"
117,Benchling,2021-04-14,Internet software & services,San Francisco,North America,2012,$412M,6.0,"Thrive Capital, Benchmark, MenloVentures",3.1652201257861634,"Thrive Capital, Benchmark, MenloVentures"
118,Better.com,2020-11-10,Fintech,New York,North America,2018,$405M,6.0,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",6.0,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
119,iCapital Network,2021-07-27,Fintech,New York,North America,2013,$729M,3.397312859884837,"BlackRock, Blackstone, UBS",6.0,"BlackRock, Blackstone, UBS"
120,Wiz,2021-03-17,Cybersecurity,Tel Aviv,Asia,2020,$600M,3.397312859884837,"Insight Partners, Sequoia Capital, Index Ventures",6.0,"Insight Partners, Sequoia Capital, Index Ventures"
121,Howden Group Holdings,2020-09-29,Other,London,Europe,1994,$187M,3.397312859884837,"General Atlantic, 3i Group, Huagai Capital",5.0,"General Atlantic, 3i Group, Huagai Capital"
122,Meesho,2021-04-05,Internet software & services,Bengaluru,Asia,2015,$1B,5.0,"Venture Highway, Sequoia Capital India, Prosus Ventures",4.9,"Venture Highway, Sequoia Capital India, Prosus Ventures"
123,Royole Corporation,2015-08-18,Hardware,Shenzhen,Asia,2012,$492M,5.0,"Warmsun Holding, IDG Capital Partners",6.0,"Warmsun Holding, IDG Capital Partners"
124,Monzo,2018-10-31,Fintech,London,Europe,2015,$1B,3.397312859884837,"Passion Capital, Thrive Capital, Orange Digital Ventures",4.5,"Passion Capital, Thrive Capital, Orange Digital Ventures"
125,Socure,2021-03-16,Cybersecurity,New York,North America,2012,$644M,5.0,"Two Sigma Ventures, Flint Capital, Commerce Ventures",4.5,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
126,VIPKid,2016-08-04,Edtech,Beijing,Asia,2013,$1B,5.0,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",3.1652201257861634,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
127,Vinted,2019-11-27,E-commerce & direct-to-consumer,Vilnius,Europe,2008,$562M,5.0,"Accel, Insight Partners, Burda Principal Investments",4.53,"Accel, Insight Partners, Burda Principal Investments"
128,Lendable,2021-03-31,Fintech,London,Europe,2014,$286M,5.0,"Ontario Teachers' Pension Plan, Goldman Sachs",3.1652201257861634,"Ontario Teachers' Pension Plan, Goldman Sachs"
129,UBTECH Robotics,2016-07-25,Hardware,Shenzhen,Asia,2012,$943M,3.397312859884837,"CDH Investments, Goldstone Investments, Qiming Venture Partners",4.58,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
130,Anduril,2019-09-11,Artificial intelligence,Irvine,North America,2017,$691M,3.397312859884837,"Andreessen Horowitz, Founders Fund, Revolution Ventures",4.6,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
131,Checkr,2019-09-19,Internet software & services,San Francisco,North America,2014,$559M,3.397312859884837,"Y Combinator, Accel, T. Rowe Price",4.6,"Y Combinator, Accel, T. Rowe Price"
132,Color,2021-01-04,Health,Burlingame,North America,2013,$497M,3.397312859884837,"General Catalyst, Viking Global Investors, T. Rowe Price",4.6,"General Catalyst, Viking Global Investors, T. Rowe Price"
133,Dataiku,2019-12-04,Internet software & services,New York,North America,2013,$647M,5.0,"Alven Capital, FirstMark Capital, capitalG",4.6,"Alven Capital, FirstMark Capital, capitalG"
134,BetterUp,2021-02-25,Internet software & services,San Francisco,North America,2013,$567M,3.397312859884837,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",4.7,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
135,Pleo,2021-07-06,Fintech,Copenhagen,Europe,2015,$428M,5.0,"Creandum, Founders, Kinnevik",4.7,"Creandum, Founders, Kinnevik"
136,Trade Republic,2021-05-20,Fintech,Berlin,Europe,2015,$996M,3.397312859884837,"Founders Fund, Accel, Creandum",5.36,"Founders Fund. Accel, Creandum"
